-459.67,-273.15
-58,-50
-40,-40
-22,-30
-4,-20
14,-10
15.8,-9
17.6,-8
19.4,-7
21.2,-6
23,-5
24.8,-4
26.6,-3
28.4,-2
30.2,-1
32,0
33.8,1
35.6,2
37.4,3
39.2,4
41,5
42.8,6
44.6,7
46.4,8
48.2,9
50,10
68,20
69.8,21
86,30
98.6,37
104,40
122,50
140,60
158,70
176,80
194,90
212,100
392,200
572,300
752,400
932,500
1112,600
1292,700
1472,800
1652,900
1832,1000
